"id","content"
"31","operator login scenario validation run the service was launched following the express request by the actor operator the access to the screen on the management of the system ( for 例 guilogin ) enter login and password and check the function the validation then 通行证 control to the 例 of guiloginhandler which delegates to the 例 of operatoremanager the task of managing the latter deals with validate the data entered by using the panel the successful operator is notified of a backward up the 应用 of which requires guiloginhandler to the 例 of guiprincipalehandler to enable access to patient applicant and that object 应 display the main form ( for 例 guiprincipale ) this feature is was described by the sequence diagram of fig 3 2"
"32","login failed validation operator scenario the service was launched 以下 the 明确的 request by the actor operator the access to the screen on the management of the system ( for instance guilogin ) enter login and password and check the function the validation then passes control to the instance of guiloginhandler which delegates to the instance of operatoremanager the task of managing the latter deals with validate the data entered by using the panel the operator of the negative outcome is notified backward up to the instance of which shall guiloginhandler to 显示 an error message on mask guilogin this feature is was described by sequence diagram of fig 3 3"
"33","inserting anagrafica laboratory the service was launched following the express request by the actor the operator logs on to form main ( for 例 guiprincipale ) and there select the function the laboratories certified management control then guiprincipalehandler to the 例 of the delegation which application guianagraficalaboratoriohandler to the task of providing the the service first step is to obtain a list of all laboratories therefore control passes to the 例 of laboratoriomanager through which instances of laboratory retrieves the list and return it backward up the application of guianagraficalaboratoriohandler now that object shall display the list of laboratories received the mask on the management of database laboratories ( for 例 guianagraficalaboratorio ) the operator 激活 the function of the register inclusion of the laboratory inserts the data of a new outpatient and confirm the data control passes to the 例 of the guianagraficalaboratoriohandler which delegation is to include a new laboratory the application of laboratoriomanager through the body of laboratory to ensure the inclusion and saving data on the new lab passes the subsequent guianagraficalaboratoriohandler which in turn deals with notification by the 成功 of the displaying a message on the screen to managing the laboratories ( for 例 guianagraficalaboratorio ) this 特征 has been described ` through collaboration 图 of 图 3 4"
"34","changing anagrafica laboratory the service was launched following the express request by the actor the operator logs on to form main ( for instance guiprincipale ) and there select the function the laboratories 认证 management control then guiprincipalehandler to the instance of the delegation which application guianagraficalaboratoriohandler to the 任务 of providing the the service first step is to 获得 a list of all laboratories therefore control passes to the instance of laboratoriomanager through which instances of laboratory retrieves the list and 返回 it backward up the application of guianagraficalaboratoriohandler now that object shall display the list of laboratories received the 面具 on the management of database laboratories ( for instance guianagraficalaboratorio ) the operator select from the laboratory to change the active review the register function of the laboratory and control passes to the instance of the guianagraficalaboratoriohandler which delegates the 任务 to collect data on the laboratory selected to the instance of laboratoriomanager the latter by the laboratory of application shall recovery of supplying such data to the instance of guianagraficalaboratoriohandler which in turn is responsible for their view on the 面具 guianagraficalaboratorio at this point , the operator confirms the changes made and control passes to the instance of guianagraficalaboratoriohandler the delegation which is to store the data in the laboratory considered the application of laboratoriomanager latter through the body of laboratory provides data to the rescue altered passes control to the instance of guianagraficalaboratoriohandler which in turn deals with notify 成功 by viewing a special message on the screen on the management the register of laboratories ( for instance guianagraficalaboratorio ) this feature has been described ` through collaboration diagram of 图 3 5"
"35","delete anagrafica doctor the service was launched following the express request by the actor the operator logs on to form main ( for instance guiprincipale ) and there select the function anagrafica doctor management control then guiprincipalehandler to the instance of the delegation which application guianagraficamedicohandler to the task of managing the service the first step is to obtain a list of all 医生 因此 control passes to the instance of the medicomanager through which instances of doctor retrieves the list and returns backward up to the instance of guianagraficamedicohandler now that object shall to 显示 the list of 医生 obtained on mask on the management of the registration of 医生 ( instance of guianagraficamedico ) the operator selects from your doctor to be eliminated and active function disposal of medical data of its monitoring and guianagraficamedicohandler passes to the instance of the delegation which the task of finding data for 选 medical the application of medicomanager by the panel doctor provides for 复苏 of such data will 提供 application guianagraficamedicohandler of which in turn takes care of them guianagraficamedico mask on 显示 at this point operator confirms the changes made and control passes guianagraficamedicohandler to the instance of which the delegation to eliminate the doctor 选 to the instance of medicomanager latter through the application of doctor to 提供 and passes control to the instance of guianagraficamedicohandler which in turn 交易 with notify success by viewing a special message on the screen on the management the register of 医生 ( for instance guianagraficamedico ) this feature is was described by the collaboration diagram fig 3 of 6"
"36","record 访问 this feature is has been described by collaboration diagrams of fig 3 21 the main 脚本 : the service is started following the explicit request the actor part of the operator access to the mask main ( for instance guiprincipale ) and there select the function the management visits then passes control to the instance of guiprincipalehandler which delegates to the instance of guivisitahandler the task of 提供 the service the first step is to obtain a list of all visits in outpatient therefore control passes to the instance of visitemanager through an iterative 处理 are the goods retrieval of all visits and every step is made in as follows : the panel found through visitemanager the body of data on visits to a 访问 and then passes control to the instance of that esamimanager provides through instances of examination for finding all 考试 on the same 访问 this list is passed guivisitahandler to the instance of which shall display the visits made on the mask on the management visits ( for instance guivisite ) the operator select the function visiting placement insert data 访问 the new and 确认 control passes to the application guivisitehandler of the delegation which is to enter the new 访问 to the instance of visitemanager latter through 访问 the panel and ensure the inclusion of rescue data on a new tour and return control application guivisitahandler of which in turn is responsible to notify success by viewing a message in the form of management visits ( for instance guivisita )"
"37","input examination the 服务 was launched following the express request by the actor the 操作者 logs on to form on the management of visits ( for instance guivisita ) select from a visit to add a assessment and activates the 功能 of inserting a new examination control then to the instance of guivisitahandler which delegates guiesamehandler to the instance of the task of providing the 服务 the first 步 is to find information on the visit that the 操作者 has selected therefore control passes the application of visitemanager through the application visit the retrieves information on the visit selected and passes control to the instance of that esamimanager through the examination of bodies found a list containing the information relating to the examinations visit the list is guivisitahandler 回 to the instance of receiving the control and 确保 display of the visit and examinations on the mask on the management of examinations ( instance of guiesami ) the 操作者 inserts the data further examination and confirmation the inclusion of the same at this point the control switches guiesamihandler to the instance of the delegation which is to enter a new examination of the application latter esamemanager through the application for review to 确保 the inclusion and saving data for further examination and passes control to the instance of guiesamehandler which in turn deals with notify success by viewing a special message in the mask on the management examinations ( for instance guiesame ) this feature is was described by the collaboration diagrams of fig 3 22"
"38","access section 患者 performed ( by code tax ) the service was launched following the express request by the actor the operator logs on to form on the 管理 section of the 患者 ( body of guiloginpaziente ) 插 the tax code that 患者 has made a request and select the function the validation then passes control to the instance of guiloginpazientehandler which delegates to the instance of pazientemanager the task of managing the service this growth deals to validate the data entered by using the body of the 患者 outcome is the notified backward up to the instance of guiloginpazientehandler which requires the application of guipazientehandler to 启用 access by the section 患者 applicant and that object shall display main form ( for instance guipaziente ) this feature is ` been 描述 by the sequence diagram of fig 3 13"
"39","access section patient failed ( by 码 hospital card ) the service was launched following the explicit request by the actor the operator logs on to form on the management section of the patient ( body of guiloginpaziente ) insert the 码 from the hospital card patient who has 制作 a request and select the function validation 控制 then the application of guiloginpazientehandler which delegates to the instance of hospitalcardmanager the task of managing the service the 后者 is responsible for validating the data entered by through the application of the hospital card fails the 交易 is notified backward up to the instance of guiloginpazientehandler which shall display an error message on screen access ( application of guiloginpaziente ) this feature has been described by ` the sequence diagram of fig 3 14"
"40","changing age 患者 the service was launched following the express 请求 by the actor the operator logs on to form 患者 's main 部分 ( for instance guipaziente ) and there select the function for amending the register of 患者 which made the 请求 and then 通行证 control guipazientehandler to the instance of that delegation to the instance of guianagraficapazientehandler the task of managing the service a now the control 通行证 to the instance of guianagraficapazientehandler which delegated the task of retrieve 患者 数据 on the applicant to the instance of pazientemanager latter through the application of 患者 provides for recovery of such 数据 and provides them to the instance of guianagraficapazientehandler which in turn takes care of them display on 屏幕 guianagraficapaziente at this point , the operator confirms the changes made and control goes back to the instance of guianagraficapazientehandler which delegated the task of store the changes made to 数据 from the 患者 concerned the application of this pazientemanager by the panel shall rescue 患者 数据 and modified when the store 通行证 the control of the application to which guianagraficapazientehandler turn is responsible to notify the success of by displaying a message on mask on managing the 患者 ( instance of guianagraficapaziente ) this feature is was described by the collaboration diagram of fig 3 15"
