"id","content"
"114","class guilogin date : 18/09/2003 version : 0 01 000 description make the mask that guides the patient the inclusion of the 码 of hospital card and pin attributes 那么 access description private btnannulla button used to return implemented by the mask guisfondo private btncancella button used to delete the last digit typed on panelkeys private btnesegui button used to confirm data private paneldisplay 面板 used to see codes inserted through the panelkeys private panelkeys 面板 containing the keypad 数字的 be used to insert the 码 of his hospital card and your pin methods signature showloginerror ( ) public access description show an error message when in the process of validation of the patient not be successful signature show ( ) public access description view mask signature login ( ) public access description manages the event generated by the patient when hospital after 插入 the card and pin starts validation procedure signature logout ( ) public access description manages the event generated by the patient when abandons the system"
"115","class guiprincipale date : 18/09/2003 version : 0 01 000 description make the main 形成 of easy clinic2003 box tower this 形成 is 任务 of guiding the patient in the choice of information to be 显示 attributes name access description private btnanagrafica button used to access the personal details section private btncartellaclin button used to access the ica section folder clinic private btnprenotazioni button used to access the reservations section private btnuscita button used to leave application methods signature show ( ) public access description view mask signature abilitaaccesso ( ) public access description manages the event generated when the procedure validation ends with the success patient is then enabled signature cartellaclinica ( ) public access description manages the event generated when the patient 获得 access click folder clinic to access your folder clinic signature datipaziente ( ) public access description manages the event generated when the patient 获得 access click the button data details to view its data details signature reservations ( ) public access description manages the event generated when the patient 获得 access click the button reservations to see reservations which set"
"116","class guianagrafica date : 18/09/2003 version : 0 01 000 description make the mask used to show detail the anagrafica data of patient attributes name access description private btnritorna button used to return to mask guiprincipale private paneldati 面板 containing all the data aagrafica on the patient methods signature visualizzaanagrafica ( ) public access description manages viewing anagrafica data master patient signature getanagrafica ( ) public access it gets the description of anagrafica patient data that 日志 on"
"117","class guiprenotazioni date : 18/09/2003 version : 0 01 000 description make the mask used for 保留 of 显示 by patient attributes name access description private btnritorna button used to return to mask guiprincipale private gridelenco grid in which only the reservations meet the search criteria set by the patient private listaappuntament list containing all 保留 made by patient private panelparametri panel containing all objects giving the possibility to patient to set the 参数 for research reservations : start date search and filtering type visit methods signature visualizzaprenotazioni ( ) public access description filter and displays reservations in listaappuntamenti based on the criteria 选择 by patient and displays the results in gridelenco signature getprenotazioni ( ) public access description get the list of 保留 by patient"
"118","class guicartellaclinica date : 18/09/2003 version : 0 01 000 description make the mask used for 观看 the clinic 夹 of patient attributes name access description private btndettagli button used to display the details of the visit selected private btnritorna button that allows you to return the 主要 form guiprincipale private paneldatianagraf panel containing the anagrafica data ici patient private panelelencovisit panel containing a grid in and what appear visits that the patient claimed methods signature visualizzadatipaziente ( ) public access see description at the top of mask the anagrafica data of patient signature visualizzaelencovisite ( ) public access description view grille ( paneldatianagrafici ) containing the visits paid by patient signature getcartellaclinica ( ) public access get the description of clinic 夹 of patient signature dettaglivisita ( ) public access description manages the event generated by the patient when decides to view the details of a visit clicking on the button in the details mask implemented by guicartellaclinica"
"119","class guivisita date : 18/09/2003 版 : 0 01 000 description make the mask on visits offers the opportunity to view patient detailed 数据 for a visit attributes name access description private btnnext button 用过的 to see the subsequent examination of the visit concerned private btnprev button 用过的 to see the previous examination of the visit concerned private btnritorna button 用过的 to return to the 形成 of clinic folder ( guicartellaclinica ) private paneldatiesami panel containing 数据 on a review carried out by patient private paneldativisit到 panel containing all 数据 for a visit methods signature create ( ) public access description manufacturer of class signature destroy ( ) public access destroyer description of the class signature getdettaglivisita ( ) public access description get the details of a visit"
"120","class guilogin date : 16/09/2003 version : 0 01 000 description make the mask that guides operator during the validation 属性 name access description private btnannulla button used to 结束 the implementation of easy clinic 2003 operator private btnesegui button used to confirm data private paneldati panel containing the boxes text where the operator enters the login methods signature showloginerror ( ) public access description show an error message if in the process of validation is not successful signature login ( ) public access description manages the event generated when the patient start the process of validation signature logout ( ) public access description manages the event when the operator leaves the system"
"121","class guiprincipale date : 18/09/2003 version : 0 01 000 description make the main 形成 of easy clinic2003 box tower this 形成 is task of guiding the patient in the 选择 of information to be displayed 属性 那么 access description private btnanagrafica button used to access the anagrafica section private btncartellaclin button used to access the ica section folder clinic private btnprenotazioni button used to access the reservations section private btnuscita button used to leave application methods 那么 显示 ( ) public access description view mask signature abilitaaccesso ( ) public access description manages the event generated when the procedure 验证 goes well signature laboratories ( ) public access description manages the event generated when the operator access to the section devoted to the laboratories signature management ( ) public access description manages the event generated when the operator access to the section on the management of the outpatient signature doctors ( ) public access description manages the event generated when the operator access to the section on management data on doctors who are outpatient signature primavisita ( ) public access description manages the event generated when the operator start the procedure of reservation a first visit signature tours ( ) public access description manages the event generated when the operator access to the section on management visits signature reservations ( ) public access description manages the event generated when the operator reservations access to the section to have a report them"
"122","class guianagrafica date : 16/09/2003 version : 0 01 000 description abstract class used to define guianagraficalaboratorio of classes and guianagraficamadico attributes name access description 私人的 btnelimina 按键 that allows you to start delete procedure the anagrafica of a laboratory or a doctor 私人的 btnmodifica 按键 that allows you to start procedure for changing th anagrafica a laboratory or doctor 私人的 btnnuovo 按键 that allows you to start procedure for input a laboratory or doctor 私人的 paneldati panel containing all the data 关于 their age in examination methods 签名 notificasuccesso ( ) public access description displays a message to notify the success of the operation carried out by operator"
"123","class guianagraficalaboratorio date : 16/09/2003 version : 0 01 000 description make the mask on the management the anagrafica of laboratories attributes name access description 私人的 gridelencolaborat list containing the information gold key laboratories registered within s i o methods signature visualizzadatilaboratorio ( ) public access description view details of the laboratory selected in the paneldati signature visualizzaelencolaboratori ( ) public access description view list of laboratories registered in the s i o signature gestioneanagrafica ( ) public access it description of the retrieval of all information 必要 for the organization of the mask 实施 by guianagraficalaboratorio"
"124","类 guianagraficamedico date : 16/09/2003 version : 0 01 000 description make the mask on the management the anagrafica of doctors 属性 name access description private gridelencomedici list containing the information principal of doctors registered in i s o methods signature visualizzadatimedico ( ) public access description view details of the doctor 选 section paneldati signature visualizzaelencomedicii ( ) public access description view list of doctors registered in i s o signature gestioneanagrafica ( ) public access it description of the retrieval of all information necessary for the organization mask implemented by guianagraficamedico"
"125","class guiresoconto date : 16/09/2003 version : 0 01 000 描述 abstract class used to define the classes and guiresocontovisite guiresocontoesami guiresocontoprenotazioni attributes name access 描述 private gridrisultati grid within which will show the results of report private btnricerca button to start the search for visits examinations or 保留 in 门诊病人 private btnuscita button that allows you to return to mask represented by guiprincipale methods 签名 visualizzarisultati ( ) public access 描述 view search results that the conduct for operator reports activities held in 门诊病人"
"126","class guiresocontovisite date : 16/09/2003 version : 0 01 000 description make the mask on the management of reports of visits required in outpatient attributes name access description private panelparametri 面板 containing the parameters necessary to set criteria creation of report of visits methods signature resocontovisite ( ) public access it description to find all the information necessary to generate the report in 合规 with the criteria specified"
"127","class guiresocontoesami date : 16/09/2003 version : 0 01 000 description make the 面具 on the management of 报告 of the examinations prescribed in visits incurred in outpatient attributes name access description private panelparametri panel containing the parameters necessary to set criteria creation of 报告 of the examinations methods signature resocontoesami ( ) public access it description to find all the information necessary to generate the 报告 in compliance with the criteria specified"
"128","类 guiresocontoprenotazioni date : 16/09/2003 version : 0 01 000 描述 make the mask on the management of report of reservation in outpatient attributes name access 描述 private panelparametri panel containing all the parameters necessary to set criteria creation of reports reservations methods signature resocontoprenotazioni ( ) public access it 描述 to 找 all the information necessary to generate the report in compliance with the criteria specified"
"129","class guipianiprenotazioni date : 16/09/2003 version : 0 01 000 description its task is to display the mask on the management of the 计划 reservations made in outpatient 属性 name access description private btnuscita button that allows you to return the mask represented by guiprincipale private panelparametri panel containing all the parameters necessary to 组 criteria creation of 计划 for reservations methods signature pianiprenotazioni ( ) public access it description to find all the information necessary for the generation of plan reservation in compliance with the criteria specified"
