"id","content"
"114","Class GUILogin Date: 18/09/2003 版： 0 01 000 说明制作引导患者的面罩 包含医院卡的代码 和PIN Attributes 名称访问说明 私人btnAnnulla按钮用于返回 implemented by the mask GUISfondo Private btnCancella button used to delete 输入的最后一位数字 面板按键 Private btnEsegui button used to confirm data 专用面板显示面板用于查看 codes inserted through the panelKeys Private panelKeys panel containing the keypad 数字用于插入 the code of his hospital card and your PIN Methods Signature showLoginError () Public Access Description Show an error message when in the process of validation of the patient not be successful Signature show () Public Access Description View mask Signature login () Public Access Description Manages the event generated by the patient when Hospital after inserting the card and PIN starts validation procedure Signature logout () Public Access 说明管理由患者生成的事件 abandons the system "
"115","Class GUIPrincipale Date: 18/09/2003 版： 0 01 000 Description Make the main form of Easy Clinic2003 Box Tower This form is 指导患者选择的任务 要显示的信息 Attributes Name Access Description 私人btnAnagrafica按钮用于访问 Personal Details section Private btnCartellaClin button used to access the ica section Folder Clinic Private btnPrenotazioni button used to access the Reservations section Private btnUscita button used to leave application Methods Signature show () Public Access Description View mask 签名abilitaAccesso（）公共访问 Description Manages the event generated when the procedure validation ends with the success Patient is then enabled Signature cartellaClinica () Public Access Description Manages the event generated when the patient 获取访问点击文件夹 Clinic to access your folder 诊所 Signature datiPaziente () Public Access 说明管理患者发生的事件 obtained access click the button Data 查看其数据的详细信息 details 签名保留（）公共访问 说明管理患者发生的事件 obtained access click the button Reservations to see reservations which set "
"116","GUIAnagrafica类日期：18/09/2003 版： 0 01 000 Description Make the mask used to show detail the anagrafica data of Patient Attributes Name Access Description Private btnRitorna button used to return to mask GUIPrincipale Private panelDati panel containing all the data aagrafica在病人身上 Methods Signature visualizzaAnagrafica () Public Access Description Manages viewing anagrafica data 大师患者 Signature getAnagrafica () Public Access 它得到了anagrafica患者数据的描述 log on "
"117","Class GUIPrenotazioni Date: 18/09/2003 版： 0 01 000 Description Make the mask used for reservation of display 由患者 Attributes Name Access Description Private btnRitorna button used to return to mask GUIPrincipale Private gridElenco Grid in which Only the reservations meet the search criteria 由患者设置 包含全部的私人列表应用列表 reservation made by Patient Private panelParametri panel containing all objects giving the possibility to Patient to set the parameters for research 预订：开始日期 search and filtering type visit Methods Signature visualizzaPrenotazioni () Public Access 说明过滤并显示预订 listaAppuntamenti based on the criteria chosen by 患者并在gridElenco中显示结果 Signature getPrenotazioni () Public Access Description Get the list of reservation 由患者 "
"118","Class GUICartellaClinica Date: 18/09/2003 Version: 0 01 000 Description Make the mask used for 查看临床文件夹 患者 Attributes Name Access Description Private btnDettagli button used to display the details of the visit selected Private btnRitorna button that allows you to return the main form GUIPrincipale 包含anagrafica数据的专用panelDatiAnagraf面板 ici Patient Private panelElencoVisit panel containing a grid in 和什么出现访问 that the patient claimed Methods 签名visualizzaDatiPaziente（）公共访问 See description at the top of mask the anagrafica data of patient Signature visualizzaElencoVisite () Public Access 说明查看格栅（panelDatiAnagrafici） 包含Patient支付的访问 签名getCartellaClinica（）公共访问 Get the description of clinic folder of patient Signature dettagliVisita () Public Access 说明管理由患者生成的事件 Decides to view the details of a visit clicking on the button in the details mask implemented by GUICartellaClinica "
"119","GUIVisita类日期：18/09/2003 版： 0 01 000 Description Make the mask on visits 提供了查看患者的机会 detailed data for a visit Attributes Name Access Description Private btnNext button used to see the subsequent examination of the 有关的访问 Private btnPrev button used to see The previous examination of the Visit concerned Private btnRitorna button used to return to the form of clinic folder (GUICartellaClinica) 包含数据的私人小组达拉斯小组 a review carried out by Patient 包含所有数据的专用panelDatiVisita面板 for a visit 方法 Signature create () Public Access Description Manufacturer of Class Signature destroy () Public Access Destroyer description of the class Signature getDettagliVisita () Public Access 说明获取访问的详细信息 "
"120","Class GUILogin Date: 16/09/2003 Version: 0 01 000 说明制作引导操作员的面罩 during the validation 属性 Name Access Description Private btnAnnulla button used to end Easy Clinic 2003的实施 操作者 Private btnEsegui button used to confirm data Private panelDati panel containing the boxes text where the operator enters the login Methods 签名showLoginError（）公共访问 Description Show an error message if 在验证过程中 is not successful Signature login () Public Access Description Manages the event generated when the patient start the process of validation Signature logout () Public Access Description Manages the event when the operator leaves 系统 "
"121","Class GUIPrincipale Date: 18/09/2003 Version: 0 01 000 Description Make the main form of Easy Clinic2003 Box Tower这个表格是 task of guiding the patient in the choice of 要显示的信息 Attributes Name Access Description Private btnAnagrafica button used to access the Anagrafica部分 私人btnCartellaClin按钮用于访问 ica section Folder Clinic 私人btn Prenotazioni按钮用于访问 预订部分 Private btnUscita button used to leave application Methods Name show () Public Access Description View mask 签名abilitaAccesso（）公共访问 Description Manages the event generated when the procedure validation goes well 签名实验室（）公共访问 Description Manages the event generated when the Operator access to the section devoted to the laboratories Signature management () Public Access 说明管理操作员生成的事件 access to the section on the management of the outpatient Signature doctors () Public Access Description Manages the event generated when the Operator access to the section on management data on doctors who are outpatient 签名primaVisita（）公共访问 说明管理操作员生成的事件 start the procedure of reservation a first visit 签名旅游（）公共访问 Description Manages the event generated when the Operator 访问管理部分 visits Signature Reservations () Public Access Description Manages the event generated when the Operator Reservations access to the section to have a report them "
"122","GUIAnagrafica类日期：16/09/2003 Version: 0 01 000 Description abstract class used to define GUIAnagraficaLaboratorio of classes and GUIAnagraficaMadico Attributes 名称访问说明 Private btnElimina button that allows you to start 删除程序 the anagrafica of a laboratory or 医生 Private btnModifica button that allows you to start procedure for changing th anagrafica a laboratory or doctor Private btnNuovo button that allows you to start 输入程序a laboratory or doctor Private panelDati panel containing all the data 关于他们的年龄 examination Methods Signature notificaSuccesso () Public Access Description Displays a message to notify the success of the operation carried out 由操作员 "
"123","Class GUIAnagraficaLaboratorio Date: 16/09/2003 Version: 0 01 000 说明在管理上制作蒙版 the anagrafica of laboratories 属性 Name Access Description Private gridElencoLaborat list containing the information gold key laboratories registered within S I O 方法 Signature visualizzaDatiLaboratorio（）公共访问 Description View details of the laboratory selected in the panelDati Signature visualizzaElencoLaboratori () Public Access Description View list of laboratories registered 在S I O中 Signature gestioneAnagrafica () Public Access It description of the retrieval of all information necessary for the organization of the mask implemented by GUIAnagraficaLaboratorio  "
