"from","to"
"31","120"
"31","142"
"31","152"
"32","120"
"32","142"
"32","152"
"33","122"
"33","123"
"33","147"
"33","158"
"34","122"
"34","123"
"34","147"
"34","158"
"35","122"
"35","124"
"35","146"
"35","153"
"36","140"
"36","150"
"36","155"
"37","141"
"37","150"
"37","156"
"38","132"
"38","145"
"38","154"
"39","132"
"39","145"
"39","154"
"40","136"
"40","145"
"40","151"
"40","154"
"41","134"
"41","136"
"41","145"
"41","148"
"41","154"
"41","159"
"42","134"
"42","148"
"42","159"
"43","134"
"43","148"
"43","159"
"44","138"
"44","148"
"44","159"
"45","114"
"45","145"
"45","154"
"46","114"
"46","145"
"46","154"
"47","116"
"47","145"
"47","154"
"48","117"
"48","148"
"48","159"
"49","118"
"49","149"
"49","155"
"49","156"
"50","119"
"50","150"
"50","155"
"50","156"
