"id","content"
"31","Operator Login Scenario validation run 该服务是在明确要求后发起的 by the actor Operator The access to the screen 对系统的管理（例如 GUILogin) enter login and password and check the function 验证然后将控制传递给实例 GUILoginHandler委托给OperatoreManager的实例 管理后者处理的任务 验证使用面板输入的数据 The successful operator is notified of a backward up the application of which requires GUILoginHandler 到GUIPrincipaleHandler的实例来启用访问 患者申请人和该对象应显示 the main form (for instance GUIPrincipale) This feature is was described by the sequence diagram of 图3 2 "
"32","登录验证操作员方案失败 这项服务是在明确要求之后发起的 由演员操作员访问屏幕 对系统的管理（例如 GUILogin) enter login and password and check the function The validation then passes control to the instance of GUILoginHandler which delegates to the instance of OperatoreManager 管理后者处理的任务 验证使用面板输入的数据 通知负面结果的操作员 backward up to the instance of which shall GUILoginHandler to display an error message on mask GUILogin This feature is was described by 图3的序列图3 "
"33","插入anagrafica实验室 该服务是在明确要求后发起的 由演员操作员登录形成 主（例如G​​UIPrincipale）并在那里选择功能 然后实验室认证管理控制 GUIPrincipaleHandler给代表哪个应用程序的实例 GUIAnagraficaLaboratorioHandler to the task of providing the The service first step is to obtain a list of all Laboratories therefore control passes to the instance of LaboratorioManager通过它实验室的实例 检索列表并将其返回给应用程序 of GUIAnagraficaLaboratorioHandler Now that object 应显示收到的实验室名单 the mask on the management of database laboratories (for instance GUIAnagraficaLaboratorio) The Operator 激活实验室登记册的功能 插入新门诊的数据并确认数据 control passes to the instance of the GUIAnagraficaLaboratorioHandler 该代表团将包括一个新的实验室 LaboratorioManager的应用程序通过 The body of Laboratory to ensure the inclusion and saving data on the new lab passes the Subsequent GUIAnagraficaLaboratorioHandler which in turn deals with notification by the success of the 在屏幕上显示一条消息 管理实验室（例如 GUIAnagraficaLaboratorio）此功能已被描述` through collaboration diagram of Fig 3 4 "
"34","改变anagrafica实验室 该服务是在明确要求后发起的 by the actor The Operator logs on to form 主（例如G​​UIPrincipale）并在那里选择功能 然后实验室认证管理控制 GUIPrincipaleHandler to the instance of the delegation which application GUIAnagraficaLaboratorioHandler提供的任务 服务的第一步是获取所有的列表 因此，实验室控制传递给实例 LaboratorioManager通过它实验室的实例 retrieves the list and return it backward up the application of GUIAnagraficaLaboratorioHandler Now that object shall display the list of laboratories received the mask on the management of database laboratories (for instance GUIAnagraficaLaboratorio) The Operator 从实验室中选择以更改活动 审查实验室和登记册的登记功能 控制权传递给GUIAnagraficaLaboratorioHandler的实例 which delegates the task to collect data on the 实验室被选为LaboratorioManager的实例 The latter by the Laboratory of application shall 恢复提供这种数据的实例 GUIAnagraficaLaboratorioHandler反过来负责 他们对面罩GUIAnagraficaLaboratorio的看法 此时，操作员确认所做的更改 控制传递给GUIAnagraficaLaboratorioHandler的实例 将数据存储在实验室中的代表团 considered the application of LaboratorioManager latter through 实验室的主体为救援提供数据 altered passes control to the instance of GUIAnagraficaLaboratorioHandler which in turn deals with notify success by viewing a special message on the screen on the management 实验室的登记簿（例如 GUIAnagraficaLaboratorio）此功能已被描述` through collaboration diagram of Fig 3 5 "
"35","删除注册表 该服务是在明确要求后发起的 由演员操作员登录形成 main (for instance GUIPrincipale) and there select the function anagrafica医生管理控制 GUIPrincipaleHandler to the instance of the delegation which application GUIAnagraficaMedicoHandler to the task of managing the service The first step is to obtain a list of all doctors 因此控制传递给MedicoManager的实例 医生通过哪些实例检索列表和 向后返回到实例 GUIAnagraficaMedicoHandler Now that object shall 显示获得的医生名单 掩盖了医生注册的管理 （GUIAnagraficaMedico的实例）操作员选择 从你的医生被淘汰和主动功能 disposal of medical data of its monitoring and GUIAnagraficaMedicoHandler passes to the instance of the delegation which the task of finding data for selected medical 面板的MedicoManager应用程序 医生提供的恢复此类数据将提供应用程序 GUIAnagraficaMedicoHandler of which in turn takes care of them GUIAnagraficaMedico面具在这一点上展示 Operator confirms the changes made and control passes GUIAnagraficaMedicoHandler的代表团 to eliminate the doctor selected to the instance of MedicoManager latter through the application of Doctor to provide and passes control to the instance of GUIAnagraficaMedicoHandler反过来处理 notify success by viewing 管理屏幕上的特殊消息 医生登记册（例如GUIAnagraficaMedico）这 功能是由协作图来描述的 图3的6 "
"36","Record visit  此功能已被描述 图3的协作图21主要场景： service is started following the explicit request 操作员的演员部分访问掩码 主（例如G​​UIPrincipale）并在那里选择功能 The management visits then passes control to the instance of GUIPrincipaleHandler代表的实例 GUIVisitaHandler the task of providing the service The first step 是获取所有访问的列表 在门诊病人因此控制传递到的实例 VisiteManager通过迭代过程是货物 所有访问的检索和每一步都是在 如下所示：通过VisiteManager找到该面板 关于访问和访问的数据正文 then passes control to the instance of that EsamiManager 通过考试实例提供所有的查找 同一次访问的考试通过此列表 GUIVisitaHandler to the instance of which shall display 在面具上做的访问 管理访问（例如GUIVisite）运营商 select the function visiting placement insert data Visit the new and confirms control passes to the application GUIVisiteHandler of the delegation which is to enter the new visit to the instance of VisiteManager latter through Visit the panel and ensure the inclusion of rescue 新巡视和返回控制应用程序的数据 GUIVisitaHandler负责通知 成功通过查看一个 message in the form of management 访问（例如GUIVisita） "
"37","输入检查 该服务是在明确要求后发起的 由演员操作员登录形成 on the management of visits (for instance GUIVisita) 从访问中选择添加评估和 激活插入新检查控件的功能 然后到代表的GUIVisitaHandler的实例 GUIEsameHandler to the instance of the task of providing the service 第一步是找到有关信息 visit that the operator has selected therefore control passes The application of VisiteManager through the application Visit the retrieves information on the visit selected and passes control to the instance of that EsamiManager 通过检查机构发现了一份包含该清单的清单 information relating to the examinations visit The list is GUIVisitaHandler返回到接收实例 control and ensure display of the visit and 考试管理面具考试 （GUIEsami的例子） 操作员插入数据进一步检查和确认 在这一点上包含控制开关 GUIEsamiHandler to the instance of the delegation which is to enter a new examination of the application latter EsameManager 通过申请审查，以确保包容和 Saving data for further examination and passes control to the instance of GUIEsameHandler which in turn deals with 通过查看通知成功 在管理面具上的特殊消息 考试（例如GUIEsame）这个功能是 由图3的协作图22描述 "
"38","Access section patient performed (by code tax) The service was launched following the express request by the actor The Operator logs on to form on the management section of the patient (body GUILoginPaziente）插入Patient的税码 已提出请求并选择功能 验证然后将控制传递给实例 代表实例的GUILoginPazienteHandler PazienteManager负责管理服务的增长 deals to validate the data entered by using 病人的结果是身体 向后通知GUILoginPazienteHandler的实例 这需要使用GUIPazienteHandler来启用 由科病人访问 applicant and that object shall display main form (for instance GUIPaziente) This feature is ` 已经由图3的序列图13描述 "
"39","访问部分患者失败（通过代码 Hospital Card) 这项服务是在明确要求之后发起的 by the actor The Operator logs on to form 在患者的管理部分（身体 的GUILoginPaziente）插入医院卡的代码 已提出请求并选择功能的患者 validation control then the application of GUILoginPazienteHandler which delegates to the instance of HospitalCardManager the task of managing the service 后者负责验证输入的数据 通过申请医院卡失败 the transaction is notified backward up to the instance of 应显示GUILoginPazienteHandler 屏幕访问（应用程序 GUILoginPaziente）这个特性已经被``描述了 The sequence diagram of Fig 3 14 "
"40","Changing age Patient  The service was launched following the express request 由演员操作员登录形成 病人的主要部分（例如GUIPaziente）和那里 select the function for amending the register of Patient 提出请求并通过控制 GUIPazienteHandler以该代表团的实例为例 GUIAnagraficaPazienteHandler管理服务的任务A Now the control passes to the instance of GUIAnagraficaPazienteHandler委托任务 retrieve patient data on the applicant to the instance of Paziente经理通过申请病人的信 provides for recovery of such data and provides them to the instance of GUIAnagraficaPazienteHandler反过来照顾他们 display on screen GUIAnagraficaPaziente 此时，操作员确认所做的更改 Control goes back to the instance of GUIAnagraficaPazienteHandler委托任务 存储对数据所做的更改 患者关注这个PazienteManager的应用 by the panel shall rescue Patient Data 并在商店通过时进行修改 control of the application to which GUIAnagraficaPazienteHandler 轮到负责通知成功 通过显示消息 mask on managing the Patient （GUIAnagraficaPaziente的实例）这个特性是 由图3 15的协作图描述 "
