"id","content"
"1","实验室数据录入 It allows the operator to enter 实验室的anagrafica 分析或任何数据的 表征 有兴趣进入的年龄 S I O内的实验室 运营商已被``认可 System (See UcValOp) and has 表征所有数据 the anagrafica of the laboratory The data in the S I O 不被修改 成功：实验室的anagrafica is properly inserted inside the S I O 操作员激活执行 anagrafica输入服务 实验室 1 View the mask 进入 需要的信息 2 Inserts data about the anagrafica of 实验室 3 Confirm placement 4验证输入的数据 通过 5存储数据 6通知该操作 它完成了 成功 数据输入无效 4 1 Display a message showing the data deemed invalid 4 2 Reinserts running from 1 用数据支持表单的字段 进入 操作员取消操作 3 1 ends the execution of use case with 失败 2 1实验室的anagrafica特点` by the following data: name VAT 地址城市省CAP地址 额外的电话和笔记 注意：斜体是突出显示的数据 Optional whose inclusion does not affect 正确完成操作 "
"10","Delete visit 它允许操作员删除一个 访问先前记录 The Operator's interest to delete a 访问先前记录 The Operator has been recognized by ` System (See UcValOp) and the visit 在S I O中注册 The data in the S I O not be modified 成功：文件夹诊所病人 这是提交访问 淘汰更新 操作员激活执行 service elimination of a visit 1查看列表 访问 按时间顺序排列 2选择访问 删除 3确认选择 4查看蒙版 for viewing 的访问 5确认删除 6删除访问和 examinations related to it 通知操作员7 该操作是` 成功结束 Operator cancels the operation 评论 3 1 ends the use case with failure 5 1 4 1 The mask will contain data on the visit 选择以允许操作员 在继续之前详细验证它们 删除 "
"11","Input examination It allows the operator to record a。支持的考试结果 病人需要​​访问 held in outpatient 运营商有兴趣进入 a。支持的评论细节 Patient 运营商已被``认可 System (See UcValOp) and the visit to refers the examination must be already 记录在S I O中 S I O中的数据 不被修改 成功：文件夹诊所病人 认为考试更新了 操作员激活执行 从数据输入服务 检查 1查看蒙版 to record 的考试 2 Input necessary data to 注册 的考试 3确认输入 4验证插入的数据 由操作员 5 Stores data confirm the elimination 6 Notify the operator 该操作是` 成功结束 Invalid data set 4 1显示适当的信息 4 2从1步退回跑步 用数据支持表单的字段 由用户插入 操作员取消操作 注册 3 1 ends the use case with failure 4 1注册a。所需的数据 consideration are: the type of examination 有关他们的实验室的信息 made the values of the results and 由医生进行的诊断评估 "
"12","改变考试 它允许操作员更改一个 先前记录的考试 运营商对改变有兴趣 examination  previously recorded The Operator has been recognized by ` 系统（参见UcValOp）检查是 注册在S I O和 运营商已收到结果 要改变 文件夹诊所 已经接受过`的病人 is not changed Success: Information on examination 在内部进行更新 of the patient's Clinic Folder 操作员激活执行 服务来修改考试 1查看清单 tests carried out in 按时间顺序排列 2通过选择检查 change 3确认您的选择 4查看蒙版 为了修改一个 检查 5 Change of data 6 Confirm Changes 7验证插入的数据 由操作员 记住8 更新 与运营商沟通9 that the operation was ` concluded successfully 无效的数据集 7 1显示适当的信息 7 2 take back running from 4 用数据支持表单的字段 由操作员插入 操作员取消操作 评论 3 1结束失败的用例 6 1 4 1 The data required for registration of a consideration are: the type of examination 有关他们的实验室的信息 取得了结果的价值和 由医生进行的诊断评估 "
"13","删除考试 它允许操作员删除一个 Visit previously recorded The Operator's interest to delete a 审查以前记录 运营商已被``认可 系统（见UcValOp）和检查结果显示 registered in the S I O The data in the S I O 不被修改 成功：文件夹诊所病人 who had undergone to examination eliminated 已更新 操作员激活执行 service elimination of an examination 1 View a list of 在英国进行的考试 chronological order 2 Select the examination to 更改 3确认您的选择 4查看蒙版 for viewing 的 5确认共享 6删除检查 通知操作员7 that the operation was ` 成功结束 操作员取消操作 评论 3 1 ends the use case with failure 5 1 4 1面具将包含有关的信息 选择以便允许 在继续操作之前对其进行详细监控 删除 "
"14","预订参观 它允许操作员见面 请求预订服务 由一位非卧床患者制成 经营者对记录有兴趣 租用门诊服务 病人要求 运营商已被``认可 System (See UcValOp) The patient is ` 被系统认可（见 UcValPaz）并已颁发给 The module R S A properly completed The data in the S I O not be modified 成功：门诊服务 所需要的是正确预订 操作员激活执行 服务预订服务 门诊病人 1 First visit  The Operator has received a request 首次访问 part of a patient  注册表插入 patient 2查看蒙版 预订 服务 门诊病人 3选择访问类型 病人想要的 make 4插入动机的 Request 5 Confirm data inserted 6 Verify that the sequence 预订是 valid （见BrValSeq） 包括7（选择日期 提供） 8确认您的预订 9存储数据 通知操作员10 该操作是` 成功结束 Sequence reservations invalid 6 1显示适当的信息 6 2重新插入步骤2中的执行 Operator cancels the operation Reservations 5 1结束失败的用例 8 1 9 1首次访问显示了这一点 甚至可以保存个人数据 In addition, the patient always in the case of a 在访问系统之前 在医院查看并打印该卡片 患者 "
"15","Changing reservation It allows the operator to meet 请求更改预订 门诊服务 To change a patient means the 将日期转换为日期 下一个 The Operator has an interest in changing the 租用门诊服务 previously requested by a patient 运营商已被``认可 系统（请参阅UcValOp）患者是` 被系统认可（见 UcValPaz）和其中的保留 要求修正是`这个 在S I O中 The data in the S I O 不被修改 成功：保留是 successfully slipped a date Next 操作员激活执行 服务改变预订 1查看列表 预订 Patient 2 Select the reservation 要改变 3确认选择 4查看蒙版 for changing the 预订 5包括（选择日期 提供） 6确认更改 7 Verification that the sequence 预订是 有效 （见BrValSeq） 记住8 updates 通知操作员10 该操作是` 成功结束 Sequence reservations invalid 7 1系统：显示适当的信息 7 2系统：从4步恢复活力 Operator cancels the operation 评论 3 1 ends the use case with failure 6 1 7 1保留的顺序必须是ricontrollat​​a 因为病人可能会接受 编辑不同的预订 since last "
"16","取消预订 它允许操作员见面 request for annulment of a renting an outpatient service by a patient 运营商有权取消 预约门诊手术服务 先前由患者请求 The Operator has been recognized by ` 系统（请参阅UcValOp）患者是` been recognized by the system (See UcValPaz) and the reservation of which requires the cancellation is `this 在S I O中 S I O中的数据 不被修改 成功：保留是 明确废止 操作员激活执行 服务取消了 预订 1查看列表 预订 Patient 2选择预订 正在改变 3 Confirm cancellation 4验证序列 Reservations are valid （见BrValSeq） 5取消预订 6通知操作员 该操作是` 成功结束 序列保留无效 4 1 Show an appropriate message 4 2 Reinserts running from 1 step 操作员取消操作 评论 3 1结束失败的用例 4 1保留的顺序必须是ricontrollat​​a 因为病人可以服用 取消预约以外的预约 last "
"17","改变anagrafica患者 It allows the operator to change the anagrafica of a patient that are 在门诊 它处理数据的修改 about anagrafica a Patient 运营商已被``认可 系统（请参阅UcValOp）患者是` been recognized by the system (See UcValPaz）和病人的年龄是` 在S I O里面 The anagrafica data Patient 没有修改，留在 这是在执行之前 成功：病人的anagrafica是 妥善改变 操作员激活执行 改变anagrafica的服务 Patient 1查看蒙版 for editing the anagrafica of 患者 2改变anagrafica of 患者 3确认更改 4验证操作员插入的数据 5记住 updates 6通知该操作 它完成了 成功 Invalid data set 4 1显示一条消息显示 数据被认为无效 4 2重新插入从1开始运行 underpinned the fields of the form with data 由用户插入 操作员取消功能 change 3 1 ends the execution of use case with 失败 2 1患者的anagrafica的特征是` 以下数据：姓氏性别代码 出生地点的出生日期 province of birth place of address home province of residence address ZIP code 额外的电话和笔记 注意：斜体是突出显示的数据 Optional whose inclusion does not affect 正确完成操作 "
"18","患者注册表输入 它允许操作员输入 the anagrafica of a patient who contact 第一次门诊 运营商有记录的兴趣 the anagrafica of a new patient in 作为第一个联系人 手术后，需要一个 在预订参观之前 The Operator has been recognized by ` 系统（请参阅UcValOp）患者 发给S A R的表格 与关于anagrafica的部分 successfully completed S I O中的数据 不被修改 成功：病人的anagrafica是 在内存中正确维护和 仅存储在S I O中 end of the reservation of the First 访问 操作员激活执行 reservation service of a First Visit 1查看蒙版 用于必要的输入 信息 2插入关于anagrafica的数据 患者 3 Confirm input 4验证插入的数据 by operator 5建立和分配 医院卡 （见BrCreCar） 10第一次访问 无效的数据集 4 1显示一条消息显示 数据被认为无效 4 2从1步重新插入运行 用数据支持表单的字段 inserted by operator 操作员取消功能 insertion 3 1结束了用例的执行 失败 2 1一个病人的anagrafica特点是` following data: name surname sex code Tax date of birth place of birth province of birth place of address home province of residence address ZIP code Additional telephone and Notes 注意：斜体是突出显示的数据 Optional whose inclusion does not affect 正确完成操作 "
