"from","to"
"31","120"
"31","142"
"31","152"
"32","120"
"32","142"
"32","152"
"33","122"
"33","123"
"33","147"
"33","158"
"34","122"
"34","123"
"34","147"
"34","158"
"35","122"
"35","124"
"35","146"
"35","153"
"36","140"
"36","150"
"36","155"
"37","141"
"37","150"
"37","156"
"38","132"
"38","145"
"38","154"
"39","132"
"39","145"
"39","154"
"40","136"
"40","145"
"40","151"
"40","154"
"41","134"
"41","136"
"41","145"
"41","148"
"41","154"
"41","159"
"42","134"
"42","148"
"42","159"
"43","134"
"43","148"
"43","159"
"44","138"
"44","148"
"44","159"
"45","114"
"45","145"
"45","154"
"46","114"
"46","145"
"46","154"
"47","116"
"47","145"
"47","154"
"48","117"
"48","148"
"48","159"
"49","118"
"49","149"
"49","155"
"49","156"
"50","119"
"50","150"
"50","155"
"50","156"
"1","122"
"1","123"
"1","147"
"1","158"
"2","122"
"2","123"
"2","147"
"2","158"
"3","122"
"3","123"
"3","147"
"3","158"
"4","122"
"4","124"
"4","146"
"4","153"
"5","122"
"5","124"
"5","146"
"5","153"
"6","122"
"6","124"
"6","146"
"6","153"
"7","120"
"7","142"
"7","152"
"8","140"
"8","150"
"8","155"
"9","140"
"9","150"
"9","155"
"10","140"
"10","150"
"10","155"
"11","141"
"11","150"
"11","156"
"12","141"
"12","150"
"12","156"
"13","141"
"13","150"
"13","156"
"14","134"
"14","148"
"14","159"
"15","134"
"15","148"
"15","159"
"16","138"
"16","148"
"16","159"
"17","136"
"17","145"
"17","154"
"18","136"
"18","137"
"18","144"
"18","145"
"18","154"
"20","132"
"20","145"
"20","154"
"21","118"
"21","149"
"21","155"
"21","156"
"22","117"
"22","148"
"22","159"
"23","116"
"23","145"
"23","154"
"25","114"
"25","145"
"25","154"
"26","128"
"26","148"
"26","159"
"27","126"
"27","150"
"27","155"
"28","127"
"28","150"
"28","156"
"29","130"
"29","148"
"29","159"
"30","129"
"30","148"
"30","159"
"7","51"
"7","52"
"7","53"
"7","54"
"7","55"
"7","56"
"7","57"
"14","81"
"14","82"
"14","83"
"14","84"
"14","85"
"14","86"
"14","87"
"14","88"
"14","89"
"14","90"
"14","91"
"14","92"
"14","93"
"15","101"
"15","102"
"15","103"
"15","104"
"15","105"
"15","106"
"16","94"
"16","95"
"16","96"
"16","97"
"16","98"
"16","99"
"16","100"
"18","66"
"18","67"
"18","68"
"18","69"
"18","70"
"18","71"
"18","72"
"18","73"
"18","74"
"18","75"
"18","76"
"18","77"
"18","78"
"18","79"
"18","80"
"20","58"
"20","59"
"20","60"
"20","61"
"20","62"
"20","63"
"20","64"
"20","65"
"25","107"
"25","108"
"25","109"
"25","110"
"25","111"
"25","112"
"25","113"
