"id","content"
"1","input anagrafica laboratory it allows the operator to enter the anagrafica of a laboratory analysis or any 数据 that the characterize has an 利益 to enter the age of laboratory within the s i o the operator has been recognized by ` system ( see ucvalop ) and has all the 数据 that characterize the anagrafica of the laboratory the 数据 in the s i o not be modified success : the anagrafica of the laboratory is properly inserted inside the s i o the operator activates the execution of the anagrafica input service laboratory 1 view the mask to enter information needed 2 inserts 数据 about the anagrafica of laboratory 3 confirm placement 4 verify the 数据 entered by 5 stores 数据 6 notify that the operation it is `finished with success 数据 entered invalid 4 1 display a message showing the 数据 deemed invalid 4 2 reinserts running from 1 支撑 the fields of the form with 数据 entered operator cancels operation 3 1 ends the execution of use 案件 with failure 2 1 the anagrafica of a laboratory is 特征 ` by the following 数据 : name vat address city 省 cap addresses additional telephone and notes nb : in italics are highlighted 数据 optional whose inclusion does not 影响 on the correct completion of operation"
"10","delete visit it allows the operator to delete a visit previously recorded the operator 's interest to delete a visit previously recorded the operator has been recognized by ` system ( 看到 ucvalop ) and the visit is registered in the s i o the data in the s i o not be modified success : the folder clinic patient which was submitted to visit eliminated is updated the operator activates the execution of service elimination of a visit 1 view the list of visits in chronological 订购 2 select the visit to delete 3 confirm the selection 4 view the mask for viewing of visit 5 confirm the delete 6 delete the visit and examinations related to it notify the operator 7 that the operation was ` concluded 顺利 operator cancels the operation review 3 1 ends the use case with failure 5 1 4 1 the mask will contain data on the visit 选 so as to allow the operator to 校验 them in detail before proceeding to delete"
"11","input examination it allows the operator to record results of a examination supported by a patient required a visit held in outpatient the operator 's 利益 to enter details of a review supported by a patient the operator has been recognized by ` system ( see ucvalop ) and the visit to refers the examination must be already 记录 in the s i o the data in the s i o not be modified success : the 夹 clinic patient argued that the examination is updated the operator activates the execution of input service of data from an examination 1 view the mask to record of examination 2 input 必要 data to registration of examination 3 confirm input 4 verify the data inserted by operator 5 stores data confirm the elimination 6 notify the operator that the operation was ` concluded successfully invalid data set 4 1 显示 an appropriate message 4 2 take 背部 running from 1 step underpinned the fields of the form with data inserted by user operator cancels the operation registration 3 1 ends the use case with failure 4 1 the data required for registration of a 考虑 are : the type of examination information relating to the laboratory where they made the values of the results and diagnostic evaluation made by the doctor"
"12","changing examination it allows the operator to change a examination previously recorded the operator has an interest in change examination previously recorded the operator has been recognized by ` system ( see ucvalop ) examination is registered in the s i o and the operator has 收到 the results of to be change the clinic of folder patient who has undergone ` is not changed success : 信息 on examination to be updated within of the patient 's clinic folder the operator activates the execution of 服务 to modify an examination 1 view a list of tests carried out in chronological order 2 select the examination by change 3 confirm your selection 4 view the mask for the modification of a examination 5 change of 数据 6 confirm changes 7 verify the 数据 插入 by operator remember the 8 updates communicate to the operator 9 that the operation was ` concluded successfully invalid 数据 set 7 1 show an appropriate message 7 2 take 背部 running from 4 underpinned the 领域 of the form with 数据 插入 by operator operator cancels the operation review 3 1 ends the use case with failure 6 1 4 1 the 数据 required for registration of a consideration are : the type of examination 信息 relating to the laboratory where they made the values of the results and diagnostic evaluation made by the doctor"
"13","删除 examination it allows the operator to 删除 a 访问 previously recorded the operator 's interest to 删除 a review previously recorded the operator has been recognized by ` system ( see ucvalop ) and the examination showed registered in the s i o the data in the s i o not be modified success : the folder clinic patient who had 经历 to examination eliminated is updated the operator activates the 执行 of service elimination of an examination 1 view a list of 考试 conducted in chronological order 2 select the examination to change 3 confirm your selection 4 view the mask for viewing of 5 confirm delte 6 删除 the examination notify the operator 7 that the operation was ` concluded successfully operator cancels the operation review 3 1 ends the use case with failure 5 1 4 1 the mask will contain information relating to selected so as to allow the to monitor them in detail before proceeding to 删除"
"14","book visit it allows the operator to meet request for a booking service made by an ambulatory patient the operator has an interest in the record 租房 an outpatient service requested by a patient the operator has been 认可 by ` system ( 看到 ucvalop ) the patient is ` been 认可 by the system ( 看到 ucvalpaz ) and has issued to the module r s a 正确 completed the data in the s i o not be modified success : the outpatient service required is 正确 booked the operator activates the execution of service booking service outpatient 1 first visit the operator has received a request first visit part of a patient inserting 注册处 patient 2 view the mask for booking of service outpatient 3 select the type of visit that the patient wants make 4 inserts motivation of the request 5 confirm data inserted 6 verify that the 序列 reservations are valid ( 看到 brvalseq ) includes 7 ( select dates available ) 8 confirm your reservation 9 stores data 通知 the operator 10 that the operation was ` concluded successfully 序列 reservations invalid 6 1 show an appropriate message 6 2 reinserts execution from step 2 operator cancels the operation reservations 5 1 ends the use case with failure 8 1 9 1 for a first visit has shown to this point that will be saved 甚至 the personal data in addition , the patient always in the case of a before visiting the system will view and print the card in hospital patient"
"15","changing reservation it allows the operator to meet request to change a reservation a service by outpatient to change a patient means the shift the date to a date next the operator has an interest in changing the renting an outpatient service previously requested by a patient the operator has been 认可 by ` system ( see ucvalop ) the patient is ` been 认可 by the system ( see ucvalpaz ) and the reservation of which requires the 修订 is `this in the s i o the 数据 in the s i o not be 改性 success : the reservation is successfully slipped a date next the operator activates the execution of service to changing a reservation 1 view the list of reservations for the patient 2 select the reservation to be change 3 confirm selection 4 view the mask for changing the reservations 5 includes ( select dates available ) 6 confirm the change 7 verification that the sequence reservations is valid ( see brvalseq ) remember the 8 updates notify the operator 10 that the operation was ` concluded successfully sequence reservations invalid 7 1 system : show an appropriate message 7 2 system : rejuvenating running from 4 step operator cancels the operation review 3 1 ends the use case with failure 6 1 7 1 the sequence of reservations must be ricontrollata because the patient may take the 编辑 a 不同 reservation 以来 last"
"16","cancel reservation it allows the operator to meet request for annulment of a renting an outpatient service by a patient the operator 's interest to cancel reservation an outpatient ambulatorial service previously requested by a patient the operator has been recognized by ` system ( see ucvalop ) the patient is ` been recognized by the system ( see ucvalpaz ) and the reservation of which requires the cancellation is `this in the s i o the data in the s i o not be modified success : the reservation is definitively 废止 the operator activates the execution of service cancellation of a reservations 1 view the list of reservations for the patient 2 select the reservation to be 改变 3 confirm cancellation 4 verify that the sequence reservations are valid ( see brvalseq ) 5 cancel reservation 6 通知 the operator that the 手术 was ` concluded successfully sequence reservations invalid 4 1 show an appropriate message 4 2 reinserts running from 1 step operator cancels the 手术 review 3 1 结束 the use case with 失败 4 1 the sequence of reservations must be ricontrollata because the patient may take the cancellation of a reservation other than the last"
"17","changing anagrafica patient it allows the operator to change the anagrafica of a patient that are at outpatient it deals with the modification of data about anagrafica a patient the operator has been recognized by ` system ( see ucvalop ) the patient is ` been recognized by the system ( see ucvalpaz ) and the age of the patient is ` inside of s i o the anagrafica data patient are not modified , remain in this was before execution success : the anagrafica of the patient is properly changed the operator activates the execution of change service of the anagrafica patient 1 view the mask for editing the anagrafica of patient 2 cgange the anagrafica of patient 3 confirm 变化 4 校验 the data inserted by operator 5 remember the updates 6 notify that the operation it is `finished with success invalid data set 4 1 display a message showing the data 认为 invalid 4 2 reinserts running from 1 underpinned the fields of the form with data insterted by 用户 operator 取消 function change 3 1 ends the execution of use case with failure 2 1 the anagrafica of a patient is characterized by ` following data : name surname sex code tax date of birth place of birth province of birth place of address home province of residence address zip code additional telephone and notes nb : in italics are highlighted data optional whose inclusion does not affect on the 正确 completion of the operation"
"18","input anagrafica patient it allows the operator to enter the anagrafica of a patient who contact for the first time the outpatient the operator has an 利益 in record the anagrafica of a new patient in as the contact for the first after the surgery and requires a before booking for a 访问 the operator has been recognized by ` system ( see ucvalop ) the patient issued to the form s a r with the section about anagrafica successfully completed the data in the s i o not be modified success : the anagrafica of the patient is correctly maintained in memory and stored in the s i o only end of the reservation of the first 访问 the operator activates the execution of reservation service of a first 访问 1 view the mask for input of necessary 信息 2 inserts data about anagrafica of patient 3 confirm input 4 verify the data inserted by operator 5 build and assigns hospital card ( see brcrecar ) 10 first 访问 invalid data 组 4 1 display a message showing the data deemed invalid 4 2 reinserts 赛跑 from 1 step underpinned the fields of the form with data inserted by operator operator cancels function insertion 3 1 ends the execution of use case with failure 2 1 the anagrafica of a patient is characterized by ` following data : name surname sex code tax date of birth place of birth province of birth place of address home province of residence address 压缩 code additional telephone and notes nb : in italics are 突出 data 可选的 whose inclusion does not affect on the correctly completion 国税发 operation"
